Blog	four	looking	second	here	k	music	until	example	want	wrong	series	re	wasn	service	needed	project	came	net	best	country	asked	much	life	things	big	had	easy	possible	right	old	people	support	happy	back	time	team	along	love	working	such	years	course	didn	internet	million	open	future	note	take	ways	going	artist	where	many	photos	technology	being	around	world	favorite	other	image	her	am	having	original	number	tv	th	large	small	past	hours	pick	via	company	information	its	always	found	really	major	self	also	play	sometimes	set	see	available	last	whole	rules	recent	using	couple	d	continue	anything	into	link	line	posted	us	ago	results	try	video	let	great	makes	tools	next	process	high	books	could	david	system	lot	face	fact	should	move	means	stuff	edition	email	ve	off	less	web	five	become	does	doing	told	word	work	interview	order	office	then	them	they	network	another	john	do	away	com	hand	photo	thanks	night	security	comments	marketing	post	months	way	update	together	change	live	social	write	product	remember	still	non	now	january	year	space	shows	care	than	online	only	between	article	comes	actually	these	media	real	read	early	business	aren	start	trying	since	month	very	learned	family	put	site	history	help	soon	event	miss	latest	pretty	during	x	close	won	probably	both	else	look	used	game	run	within	doesn	youtube	go	facebook	click	started	control	links	software	him	times	data	man	need	based	she	state	problem	keep	well	page	twitter	home	north	he	piece	friends	amp	companies	likely	even	while	ever	never	give	amazing	before	personal	better	weeks	went	content	isn	user	seen	don	m	points	stop	bad	said	against	three	website	say	make	left	just	human	yes	yet	popular	down	digital	finally	did	making	sunday	may	maybe	talk	nbsp	group	interesting	rock	morning	after	thing	think	first	little	anyone	were	show	enough	get	nearly	behind	reading	across	according	those	different	pay	same	running	money	either	users	videos	film	again	important	u	public	search	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	believe	build	most	services	find	please	point	simple	understand	itself	yesterday	bit	google	often	decision	single	others	later	ll	day	including	almost	thought	add	works	buy	minutes	special	under	every	would	phone	me	end	over	writing	each	got	free	days	already	top	too	took	talking	though	watch	amazon	report	full	however	news	quickly	several	everything	christmas	why	check	no	posts	today	huge	name	turn	place	given	white	any	sure	written	review	outside	come	case	myself	events	week	without	when	seems	blog	there	program	far	sony	list	design	version	short	might	friday	feel	says	story	kind	nothing	part	his	wrote	art	use	recently	question	long	called	once	issues	app	few	something	united	six	instead	our	out	york	their	which	who	view	stories	gets	know	because	getting	own	apps	made	whether	book
Latest from Crooks and Liars	0	1	0	2	0	2	0	0	0	0	1	0	1	0	1	0	0	2	2	2	0	0	1	1	1	1	0	0	3	0	0	0	0	0	2	0	0	1	0	1	3	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	2	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	3	0	1	0	1	0	0	0	6	0	0	6	0	1	1	0	0	0	0	0	2	1	0	0	2	0	1	0	2	0	4	0	1	0	2	3	0	0	1	0	0	1	0	1	0	0	0	0	3	0	0	0	0	1	0	0	3	2	1	2	3	0	2	0	0	1	1	0	0	0	3	3	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	3	0	1	0	0	0	0	0	1	1	6	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	1	4	1	0	0	0	21	0	1	0	0	0	0	0	1	0	0	0	2	0	1	2	0	0	1	0	0	1	0	2	1	0	12	0	0	1	3	2	0	2	0	0	1	0	1	0	1	3	1	2	2	0	1	0	1	0	0	2	2	0	1	2	3	0	1	2	0	1	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	3	0	1	0	0	3	0	0	1	0	1	0	2	0	1	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	7	0	0	3	0	0	0	2	0	0	2	0	0	0	0	0	0	15	0	0	0	1	0	0	2	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	2	1	2	0	1	1	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	2	2	1	0	2	2	0	0	0	2	2	1	0	0	2	3	0
Creating Passionate Users	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	4	0	0	2	1	1	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	2	0	0	1	0	2	0	1	1	1	0	0	0	0	0	1	0	0	0	0	1	5	1	1	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0
TechCrunch	0	0	0	2	1	0	0	0	2	0	0	5	0	4	0	1	0	0	1	0	0	0	0	0	3	1	0	0	0	1	0	0	0	2	1	0	0	0	1	0	0	0	1	0	2	0	3	0	1	1	0	0	1	2	1	3	0	2	1	0	4	0	0	0	0	1	0	0	0	1	0	2	0	0	0	1	1	4	0	0	0	1	3	3	0	0	1	3	1	4	0	0	1	0	0	1	0	1	2	0	2	0	4	1	0	1	3	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	3	1	1	0	2	0	3	0	2	0	0	0	0	2	1	0	1	2	1	1	4	0	0	0	0	0	0	1	0	8	0	0	0	1	0	2	0	1	1	0	1	0	0	20	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	7	1	0	1	0	0	0	0	1	0	7	1	3	0	0	0	0	2	0	1	3	1	0	1	0	0	0	0	1	1	0	0	0	1	1	2	1	1	1	0	4	0	1	2	1	0	1	0	0	3	1	1	1	0	1	1	0	0	0	1	19	2	1	0	1	2	0	0	2	0	0	2	2	0	1	0	0	0	0	2	3	0	0	0	0	1	0	3	0	0	0	1	2	0	3	0	1	0	0	1	0	0	0	0	1	0	0	1	0	1	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	0	0	0	1	0	0	0	2	1	0	0	2	0	0	1	0	1	0	1	0	1	0	0	1	1	0	0	3	2	0	0	0	2	1	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	0	3	0	1	4	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	2	0	0	3	2	1	0	0	3	4	0	3	2	2	0	2	1	0	0	2	0	1	0	0	0
5779bd9c59645a6590589ae183779d0d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2f4676488951ff782d509918c8267ea9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ThinkProgress	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	0	1	4	0	0	0	0	2	0	0	0	0	0	0	2	0	20	1	0	0	1	0	0	0	0	0	0	0	0	1	1	4	0	0	3	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	4	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	1	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	4	0	0	21	0	0	3	0	0	0	0	0	0	0	2	1	0	0	5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	1	1	3	0	3	0	0	0	0	3	3	0	0	0	0	0
Little Green Footballs	1	0	0	4	1	5	1	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	8	2	2	0	2	1	2	0	0	1	1	2	1	1	3	0	0	1	0	0	0	1	0	3	2	0	0	0	0	1	0	0	1	0	4	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	3	1	1	0	3	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	1	2	0	0	0	8	0	1	1	0	0	0	1	0	0	10	0	0	0	1	0	0	0	1	0	0	2	1	0	1	0	0	3	1	1	3	0	1	0	0	1	1	3	0	2	3	1	0	4	1	1	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	2	0	0	4	0	5	0	0	0	0	0	1	0	2	0	3	1	3	0	0	0	0	0	0	1	1	0	1	0	6	0	0	0	1	0	2	1	0	1	0	0	0	0	1	0	1	1	1	0	2	0	1	7	1	2	0	0	3	0	0	2	2	0	3	0	0	2	0	1	0	1	0	3	0	1	8	2	0	4	0	0	0	1	0	0	2	2	1	1	1	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	1	0	1	3	0	0	0	1	0	0	0	3	0	3	0	0	0	0	1	0	0	0	6	0	0	2	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	4	0	1	0	2	0	1	0	0	0	1	1	1	8	0	0	0	1	0	0	4	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	2	0	1	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	3	2	0	4	0	1	0	0	1	0	0	9	2	0	1	0	1	0	0	0	0	0	2	1	1	0	1	0	1	0	0	1	0	6	0	0	0	2	4	2	0	1	5	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	4	0	1	6	0	0	0	1	2	0	0	0	0	0	1
kottke.org	5	0	1	9	1	16	1	1	3	1	3	4	1	0	0	1	2	1	27	3	0	6	3	1	7	7	0	0	3	5	4	0	0	1	14	1	0	5	3	2	13	1	4	3	2	0	3	0	1	2	3	0	2	8	8	2	6	1	17	4	12	0	12	3	1	4	2	7	2	3	5	5	0	2	17	4	1	7	0	5	4	4	1	10	2	2	1	11	5	6	3	0	1	2	1	3	1	1	11	3	1	1	6	1	2	1	17	1	4	0	1	2	2	1	10	5	0	1	0	0	2	2	0	2	3	2	0	3	5	5	0	0	3	2	0	5	1	5	3	1	0	5	3	16	0	6	5	9	2	0	3	2	0	0	0	0	2	2	3	12	8	1	4	1	2	4	0	0	7	2	7	0	19	8	2	4	18	0	13	6	0	2	3	7	2	3	2	6	2	0	1	0	6	2	5	2	2	0	2	4	1	2	0	0	1	1	9	4	1	0	3	1	0	1	7	1	2	2	0	0	3	0	0	0	0	0	5	1	5	3	0	0	0	11	1	1	0	8	0	1	6	7	11	3	1	2	1	4	7	3	2	3	1	4	5	2	3	3	4	0	7	2	2	2	4	3	3	2	8	0	5	0	0	7	1	7	0	0	1	2	2	3	2	3	2	0	6	0	0	188	0	6	1	0	5	7	1	8	5	0	9	6	0	2	2	2	0	0	2	4	2	0	4	2	1	0	0	0	16	2	2	3	2	0	14	2	0	1	5	10	1	4	0	4	4	1	1	0	14	3	1	0	1	1	1	0	0	1	0	3	0	3	1	6	2	3	3	4	2	0	3	4	1	2	1	5	18	1	9	2	12	2	8	0	2	0	2	8	3	2	1	2	4	8	0	1	1	2	1	5	2	3	7	1	5	1	9	2	0	0	0	1	4	6	0	2	1	1	2	2	1	0	2	2	14	2	0	15	0	1	1	3	3	0	4	3	0	3	1	6	0	2	6	13	3	4	6	2	1	3	4	2	0	0	4	3	1	1	0	5	13	1	10	19	10	1	0	2	6	3	2	5	1	4	1	15
MetaFilter	1	0	0	3	0	1	1	0	1	0	1	1	1	0	0	0	0	0	4	1	0	2	0	4	2	2	0	0	2	1	0	0	0	0	2	2	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	2	2	2	0	0	1	1	1	0	0	1	0	0	0	0	0	2	1	1	2	0	2	0	9	0	0	1	1	2	3	0	0	1	1	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	1	0	0	0	0	0	3	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	3	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	2	0	0	0	2	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	2	1	0	0	1	0	1	0	0	1	0	2	1	1	1	0	0	0	0	0	0	0	0	7	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	1	2	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	2	0	3	0	0	1	1	0	0	1	0	1	0	2	0	1	0	0	0	1	0	1	3	0	0	0	2	0	0	1	0	0	1	0	0	0	1	1	0	1	1	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	3	2	0	0	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	2	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	1	3	0	1	4	0	0	0	0	1	1	1	0	1	0	1	2	1	0	2	3	0	4	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	4	1	0	1	0	0	0	0	0	0	0	0	0	0
ReadWrite	2	3	3	9	0	8	0	2	4	0	3	10	2	5	2	0	3	0	7	3	3	9	3	8	10	3	5	1	1	4	9	4	1	7	10	0	2	0	1	1	6	2	3	7	1	14	1	2	4	0	3	0	1	3	9	6	3	1	1	2	9	2	4	0	0	4	0	3	1	0	0	3	0	3	7	9	2	27	6	0	4	8	1	18	1	0	3	12	0	3	0	0	2	4	0	0	1	1	11	0	2	0	7	1	0	0	2	3	8	0	0	2	0	0	6	12	4	3	5	0	3	5	6	1	1	0	3	3	5	0	3	3	2	2	1	1	1	3	1	0	2	14	5	11	4	3	0	11	3	8	3	7	0	1	6	0	1	2	1	8	0	0	1	5	2	0	1	1	7	2	6	1	19	1	0	0	10	1	6	1	4	0	2	6	1	1	1	4	1	1	1	4	3	0	3	2	0	1	2	2	6	2	0	1	2	4	0	0	0	3	1	3	1	5	4	0	0	1	2	0	4	1	3	2	0	0	9	0	1	21	0	5	1	1	0	1	5	4	1	12	0	0	2	4	1	5	7	1	11	10	0	3	0	0	6	4	6	0	1	2	0	5	0	5	1	1	0	1	4	2	3	4	4	5	2	12	1	0	7	1	3	1	1	2	1	0	10	0	1	110	2	0	0	0	8	3	0	12	3	1	14	2	4	8	0	0	1	0	3	11	4	1	2	0	2	0	6	1	1	0	0	2	4	1	3	0	0	4	4	8	0	0	3	0	1	3	4	2	6	5	3	0	3	2	0	0	0	0	5	0	0	2	0	1	2	0	2	2	2	0	0	1	0	0	3	2	5	16	4	0	7	0	2	2	3	3	1	1	4	0	0	2	0	1	0	1	2	3	0	0	2	0	1	1	6	0	1	2	7	1	1	2	1	4	1	4	0	0	2	3	0	0	2	3	8	0	0	6	2	2	2	3	0	2	0	2	0	0	0	4	1	1	0	1	0	0	11	1	1	2	0	1	1	6	3	5	0	0	2	11	9	0	10	11	4	2	5	0	3	2	3	3	1	8	1	2
260de0e27dfe04541bb635c4850a2496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eb4ca4519b977833fae75d9513512492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d4ed22adf80ff8f295b3cb3b47ed1052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
